Journal,SJR_2024
Journal of Obsessive-Compulsive and Related Disorders,0.829
Research in Autism Spectrum Disorders,0.828
Annals of Pediatric Endocrinology and Metabolism,0.827
Asian Journal of Andrology,0.827
"Diabetes, Metabolic Syndrome and Obesity",0.827
Immunology and Allergy Clinics of North America,0.827
Journal of Rheumatic Diseases,0.827
Scandinavian Journal of Occupational Therapy,0.827
Yonsei Medical Journal,0.827
American Journal of Alzheimer's Disease and other Dementias,0.826
Annals of Gastroenterology,0.826
Games for Health Journal,0.826
Journal of Palliative Medicine,0.826
Mental Health and Prevention,0.826
Vascular Health and Risk Management,0.826
"Current Opinion in Endocrinology, Diabetes and Obesity",0.825
Epidemiology and Health,0.825
Expert Review of Respiratory Medicine,0.825
Microbial Pathogenesis,0.825
Orthodontics and Craniofacial Research,0.825
Pediatric Neurology,0.825
Pesticide Biochemistry and Physiology,0.825
Scandinavian Journal of Urology,0.825
Biotechnology Journal,0.824
JMIR Rehabilitation and Assistive Technologies,0.824
Journal of Integrative Environmental Sciences,0.824
Kaohsiung Journal of Medical Sciences,0.824
World Journal of Hepatology,0.824
Cerebral Circulation - Cognition and Behavior,0.823
Journal of Clinical Hypertension,0.823
Basic and Clinical Pharmacology and Toxicology,0.822
Hospital Pediatrics,0.822
International Journal of Dermatology,0.822
JSES International,0.822
Microsurgery,0.822
Cardiology Clinics,0.821
Current Opinion in Physiology,0.821
Knee,0.821
Modern Rheumatology,0.821
Neurological Sciences,0.821
Rheumatology and Immunology Research,0.821
Wearable Technologies,0.821
BMJ Supportive and Palliative Care,0.82
Journal of Liver Cancer,0.82
Journal of Chemical Physics,0.819
Clinics in Plastic Surgery,0.818
Journal of Clinical Apheresis,0.818
Neurology: Clinical Practice,0.818
OncoTargets and Therapy,0.818
Abdominal Radiology,0.817
Archives of Psychiatric Nursing,0.817
Clinical Obesity,0.817
Inflammatory Intestinal Diseases,0.817
Tropical Medicine and Infectious Disease,0.817
International Journal of Neonatal Screening,0.816
Lasers in Surgery and Medicine,0.816
Early Human Development,0.815
Informatics for Health and Social Care,0.815
Journal of Ophthalmology,0.815
PM and R,0.815
Scandinavian Journal of Surgery,0.815
Therapeutic Innovation and Regulatory Science,0.815
APMIS,0.814
American Journal of Men's Health,0.814
BMC Pharmacology and Toxicology,0.814
"Immunity, Inflammation and Disease",0.814
Ophthalmic Research,0.814
Journal of Viral Hepatitis,0.813
Journal of the American Society of Cytopathology,0.813
Journal of the National Medical Association,0.813
Research in Microbiology,0.813
Sports Medicine and Arthroscopy Review,0.813
Cold Spring Harbor Molecular Case Studies,0.812
"G3: Genes, Genomes, Genetics",0.812
Journal of Renal Nutrition,0.812
MDM Policy and Practice,0.812
HIP International,0.811
Heart and Lung,0.811
Journal of Investigational Allergology and Clinical Immunology,0.811
Biological Trace Element Research,0.81
International Journal of Health Planning and Management,0.81
Pathology International,0.81
Aphasiology,0.809
Journal of Otolaryngology - Head and Neck Surgery,0.809
PharmacoEconomics - Open,0.809
Social Work,0.809
Focus on Autism and Other Developmental Disabilities,0.808
Journal of Biotechnology,0.808
Journal of Lower Genital Tract Disease,0.808
European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry,0.807
Journal of Intellectual Disability Research,0.807
Journal of Rehabilitation Medicine,0.807
Neurosurgery Clinics of North America,0.807
F and S Reports,0.806
Journal of Health Economics and Outcomes Research,0.806
BMC Musculoskeletal Disorders,0.805
BMC Nephrology,0.805
BMC Rheumatology,0.805
Clinical Nutrition ESPEN,0.805
Current Opinion in Pulmonary Medicine,0.805
Heart Failure Clinics,0.805
Journal of Preventive Medicine and Public Health,0.805
Ocular Immunology and Inflammation,0.805
Echo Research and Practice,0.804
Journal of Developmental and Behavioral Pediatrics,0.804
Journal of Functional Morphology and Kinesiology,0.804
Neuropsychological Rehabilitation,0.804
Pulmonary Circulation,0.804
Substance Use and Misuse,0.804
Experimental and Molecular Pathology,0.803
Prostate International,0.803
Journal of Clinical Pathology,0.802
Food and Chemical Toxicology,0.801
International Journal of Sport Nutrition and Exercise Metabolism,0.801
Journal of Biomechanics,0.8
Transplant Infectious Disease,0.8
"American Journal of Medical Genetics, Part C: Seminars in Medical Genetics",0.799
Integrative Cancer Therapies,0.799
Journal of Child Health Care,0.799
Journal of Evaluation in Clinical Practice,0.799
Mycologia,0.799
Analytical Cellular Pathology,0.798
Dental and Medical Problems,0.798
European Biophysics Journal,0.798
Journal of Clinical Neurophysiology,0.798
Medicine in Microecology,0.798
Primary Health Care Research and Development,0.798
Scandinavian Journal of Rheumatology,0.798
AJOG Global Reports,0.797
European Journal of Obstetrics and Gynecology and Reproductive Biology,0.797
Journal of Emotional and Behavioral Disorders,0.797
Gerodontology,0.796
"Journal of Aggression, Maltreatment and Trauma",0.796
European Journal of Trauma and Dissociation,0.795
Thoracic Cancer,0.795
"Clinical Medicine, Journal of the Royal College of Physicians of London",0.794
Frontiers in Bioscience - Landmark,0.794
Childhood Obesity,0.793
Infection and Drug Resistance,0.793
Infectious Diseases Now,0.793
Postgraduate Medical Journal,0.793
IJC Heart and Vasculature,0.792
International Journal of Aging and Human Development,0.792
JMIR Cardio,0.792
Seizure,0.792
Surgical Oncology,0.792
Current Issues in Molecular Biology,0.791
Neurologia,0.791
British Journal of Biomedical Science,0.79
Health Information and Libraries Journal,0.79
Indian Journal of Psychological Medicine,0.79
Neurourology and Urodynamics,0.79
Pediatric Pulmonology,0.79
Pulmonary Pharmacology and Therapeutics,0.79
Emergency Medicine Journal,0.789
Frontiers in Pain Research,0.789
Journal of Digestive Diseases,0.789
"Journal of Plastic, Reconstructive and Aesthetic Surgery",0.789
Pediatric Radiology,0.789
Anaerobe,0.788
Annals of Pharmacotherapy,0.788
Clinical Anatomy,0.788
Journal of Adolescent and Young Adult Oncology,0.788
Osteoarthritis and Cartilage Open,0.788
Zoonoses and Public Health,0.788
European Archives of Oto-Rhino-Laryngology,0.787
Journal of Ophthalmic Inflammation and Infection,0.787
Updates in Surgery,0.787
BJA Education,0.786
Current Medical Research and Opinion,0.786
Journal of Nursing Research,0.786
Expert Opinion on Drug Safety,0.785
Gerontology and Geriatric Medicine,0.785
Journal of Biochemistry,0.785
Maternal and Child Health Journal,0.785
Nutrition Bulletin,0.785
Obesity Science and Practice,0.785
Oncotarget,0.785
Leukemia Research,0.784
Pediatric Infectious Disease Journal,0.784
Sports Medicine and Health Science,0.784
Ultrasound Journal,0.784
Dyslexia,0.783
Investigative and Clinical Urology,0.783
Nursing Research,0.783
Aging Brain,0.782
Beneficial Microbes,0.782
Journal of Pain Research,0.782
Journal of Policy and Practice in Intellectual Disabilities,0.782
Neurobiology of Sleep and Circadian Rhythms,0.782
World Journal of Surgical Oncology,0.782
Australian Prescriber,0.781
BMJ Paediatrics Open,0.781
Dementia and Geriatric Cognitive Disorders,0.781
Journal of Alzheimer's Disease Reports,0.781
Magnetic Resonance in Medical Sciences,0.781
Health Psychology Open,0.78
Hormones,0.78
International Journal of Industrial Ergonomics,0.78
International Journal of Workplace Health Management,0.78
Life Metabolism,0.78
Microvascular Research,0.78
Advances in Radiation Oncology,0.779
"Allergy, Asthma and Clinical Immunology",0.779
"Bioscience of Microbiota, Food and Health",0.779
Health Policy OPEN,0.779
Journal of Applied Microbiology,0.779
Lupus,0.779
Medicina del Lavoro,0.779
Acta Oncologica,0.778
European journal of paediatric dentistry : official journal of European Academy of Paediatric Dentistry,0.778
Gait and Posture,0.778
International Urogynecology Journal,0.778
Leukemia and Lymphoma,0.778
Research Quarterly for Exercise and Sport,0.778
Spine Deformity,0.778
"Acta Paediatrica, International Journal of Paediatrics",0.777
Wound Repair and Regeneration,0.776
Drugs in Context,0.775
JMIR Pediatrics and Parenting,0.775
Pain Practice,0.775
"Applied Physiology, Nutrition and Metabolism",0.774
BMC Neurology,0.774
Clinical Spine Surgery,0.774
Current Pain and Headache Reports,0.774
European Journal of Cancer Prevention,0.774
Diagnostics,0.773
Journal of Multidisciplinary Healthcare,0.773
Journal of Nephrology,0.773
Journal of Reproductive and Infant Psychology,0.773
Review of Diabetic Studies,0.773
Revista Panamericana de Salud Publica/Pan American Journal of Public Health,0.773
Journal of Biochemical and Molecular Toxicology,0.772
Journal of Prevention,0.772
Language and Speech,0.772
Clinical Drug Investigation,0.771
Journal of Medical Entomology,0.771
Physica Medica,0.771
World Journal of Surgery,0.771
Behavioural Neurology,0.77
Chaos,0.77
F and S Reviews,0.77
International Journal of Sports Physical Therapy,0.77
Medical Anthropology Quarterly,0.77
Bioethics,0.769
Current Infectious Disease Reports,0.769
Modern Trends in Psychiatry,0.769
Naunyn-Schmiedeberg's Archives of Pharmacology,0.768
Journal of Oral and Maxillofacial Surgery,0.767
Surgical Clinics of North America,0.767
Toxicology Letters,0.767
Workplace Health and Safety,0.767
Archives of Physiotherapy,0.766
Australian Journal of Rural Health,0.766
Frontiers in Network Physiology,0.766
Physiological Reports,0.766
Health Promotion Practice,0.765
Journal of Aging Studies,0.765
Journal of Korean Medical Science,0.765
Journal of Occupational Medicine and Toxicology,0.765
American Journal of Emergency Medicine,0.764
Burns,0.764
Health and Social Care Delivery Research,0.764
International Journal of Qualitative Studies on Health and Well-being,0.764
International Journal of Sexual Health,0.764
Journal of Cosmetic Dermatology,0.764
Journal of Integrative Neuroscience,0.764
Journal of Robotic Surgery,0.764
Journal of Sexual Aggression,0.764
Policing,0.764
Sensors,0.764
Cancer Nanotechnology,0.763
Comprehensive Psychoneuroendocrinology,0.763
Geriatrics and Gerontology International,0.763
Langmuir,0.763
Pathogens and Immunity,0.763
Permanente Journal,0.763
Sociology of Sport Journal,0.763
Topics in Stroke Rehabilitation,0.763
Clinical and Experimental Gastroenterology,0.762
Informatics in Medicine Unlocked,0.762
Injury,0.762
AIMS Microbiology,0.761
Annales d'Endocrinologie,0.761
Advances in Pharmacological and Pharmaceutical Sciences,0.76
Current Research in Translational Medicine,0.76
European Cells and Materials,0.76
Frontiers in Fungal Biology,0.76
Journal of Breast Cancer,0.76
Postgraduate Medicine,0.76
Western Journal of Emergency Medicine,0.76
Prehospital and Disaster Medicine,0.759
Journal of the Society for Cardiovascular Angiography and Interventions,0.758
Cleft Palate Craniofacial Journal,0.757
European Journal of Trauma and Emergency Surgery,0.757
Evaluation and the Health Professions,0.757
Japanese Journal of Radiology,0.757
MedComm - Biomaterials and Applications,0.757
Nordic Journal of Psychiatry,0.757
BJUI Compass,0.756
Canadian Journal of Gastroenterology and Hepatology,0.756
Journal of Clinical Pharmacology,0.756
Urology,0.756
Journal of Animal Science,0.755
Technology in Cancer Research and Treatment,0.755
American Journal of Clinical Pathology,0.754
Bioelectrochemistry,0.754
Chronobiology International,0.754
Healthcare (Switzerland),0.754
Stereotactic and Functional Neurosurgery,0.754
American Journal on Intellectual and Developmental Disabilities,0.753
BMC Anesthesiology,0.753
Bulletin of Environmental Contamination and Toxicology,0.753
Experimental Neurobiology,0.753
Revue Neurologique,0.753
Acta Tropica,0.752
Clinics and Research in Hepatology and Gastroenterology,0.752
European Journal of Orthopaedic Surgery and Traumatology,0.752
Korean Journal of Pain,0.752
Memorias do Instituto Oswaldo Cruz,0.752
NeuroImage: Reports,0.752
Victims and Offenders,0.752
Breathe,0.751
Histochemistry and Cell Biology,0.751
Scandinavian Journal of Immunology,0.751
Alcohol and Alcoholism,0.75
Bone Reports,0.75
International Journal of Alzheimer's Disease,0.75
JRAAS - Journal of the Renin-Angiotensin-Aldosterone System,0.75
Journal of Agromedicine,0.75
Journal of Pediatric Urology,0.75
Resuscitation Plus,0.75
Acta Anaesthesiologica Scandinavica,0.749
Frontiers in Clinical Diabetes and Healthcare,0.749
International Journal of Systematic and Evolutionary Microbiology,0.749
New Genetics and Society,0.749
World Journal of Otorhinolaryngology - Head and Neck Surgery,0.749
European Journal of Medical Genetics,0.748
Facial Plastic Surgery Clinics of North America,0.748
Food and Environmental Virology,0.748
Forensic Science International,0.748
International Journal of Clinical Pharmacy,0.748
International Journal of Spine Surgery,0.748
Advances in Medical Sciences,0.747
COPD: Journal of Chronic Obstructive Pulmonary Disease,0.747
Endocrine Journal,0.747
Genesis (United States),0.747
HSS Journal,0.747
Oncology (Switzerland),0.747
Pancreas,0.747
Psychological Injury and Law,0.747
Archives of Medical Science,0.746
Asia-Pacific Journal of Oncology Nursing,0.746
HIV/AIDS - Research and Palliative Care,0.746
Journal of Oral Pathology and Medicine,0.746
"Tropical Diseases, Travel Medicine and Vaccines",0.746
CiOS Clinics in Orthopedic Surgery,0.745
Digestive Diseases,0.745
Disability and Rehabilitation: Assistive Technology,0.745
Hand,0.745
Korean Journal of Internal Medicine,0.745
Seminars in Thrombosis and Hemostasis,0.745
BioMed Research International,0.744
Diagnostic Pathology,0.744
Journal of Health and Social Sciences,0.744
Microbes and Infection,0.744
Sexual Health,0.744
Journal of Nutrition Education and Behavior,0.743
Journal of Occupational and Environmental Medicine,0.743
AAC: Augmentative and Alternative Communication,0.742
Computer Methods and Programs in Biomedicine Update,0.742
"Culture, Health and Sexuality",0.742
Journal of Clinical and Aesthetic Dermatology,0.742
Journal of Physical Chemistry B,0.742
Nuclear Medicine and Biology,0.742
Nursing Clinics of North America,0.742
Pathogens and Disease,0.742
Physician and Sportsmedicine,0.742
BMC Complementary Medicine and Therapies,0.741
Journal of Surgical Oncology,0.741
Annals of Occupational and Environmental Medicine,0.74
Eye and Contact Lens,0.74
Frontiers in Medical Technology,0.74
"Infection, Genetics and Evolution",0.74
Journal of Pregnancy,0.74
Pharmacology,0.74
Systems Biology in Reproductive Medicine,0.74
"Artificial Cells, Nanomedicine and Biotechnology",0.739
Netherlands Heart Journal,0.739
Biotechnology and Applied Biochemistry,0.738
Blood Science,0.738
Current Molecular Medicine,0.738
European Journal of Cancer Care,0.738
Frontiers in Pediatrics,0.738
Journal of Clinical Laboratory Analysis,0.738
"Multiple Sclerosis Journal - Experimental, Translational and Clinical",0.738
Pathogens and Global Health,0.738
Sleep Epidemiology,0.738
"Clinical, Cosmetic and Investigational Dermatology",0.737
Current Developments in Nutrition,0.737
Current Opinion in Urology,0.737
Health Psychology Research,0.737
"Journal of Health, Population and Nutrition",0.737
Journal of Neurorestoratology,0.737
Psychiatry (New York),0.737
SICOT-J,0.737
Zdravstveno Varstvo,0.737
Acta Neurochirurgica,0.736
American Journal of Pharmaceutical Education,0.736
Archives of Bone and Joint Surgery,0.736
Best Practice and Research: Clinical Haematology,0.736
Cells Tissues Organs,0.736
Clinical eHealth,0.736
Journal of Surgical Research,0.736
Journal of Thrombosis and Thrombolysis,0.736
Journal of Nutrition and Metabolism,0.735
BMC Pediatrics,0.734
Biosafety and Health,0.734
CardioVascular and Interventional Radiology,0.734
Journal of Digital Imaging,0.734
Journal of Hepatocellular Carcinoma,0.734
Parkinson's Disease,0.734
mHealth,0.734
"American Journal of Medical Genetics, Part A",0.733
Clinical Transplantation,0.733
Journal of Ethnobiology and Ethnomedicine,0.733
Journal of Pathology and Translational Medicine,0.733
Cadernos de Saude Publica,0.732
Ecotoxicology,0.732
Science and Justice,0.732
European Journal of Gastroenterology and Hepatology,0.731
Journal of Chromatography A,0.731
Sleep and Breathing,0.731
Journal of Clinical and Translational Endocrinology,0.73
Journal of Photochemistry and Photobiology B: Biology,0.73
Cancer Reports,0.729
Clinical and Experimental Hypertension,0.729
Global Advances in Integrative Medicine and Health,0.729
International Archives of Allergy and Immunology,0.729
Journal of Steroid Biochemistry and Molecular Biology,0.729
Korean Circulation Journal,0.729
Cell Biochemistry and Function,0.728
Cities and Health,0.728
JACEP Open,0.728
Journal of Public Health Policy,0.728
Kidney and Blood Pressure Research,0.728
Risk Management and Healthcare Policy,0.728
American Journal of Critical Care,0.727
"Infection, Disease and Health",0.727
American Journal of Tropical Medicine and Hygiene,0.726
Current Pathobiology Reports,0.726
Current Vascular Pharmacology,0.726
Healthcare Informatics Research,0.726
Human and Experimental Toxicology,0.726
Journal of Applied Clinical Medical Physics,0.726
Journal of Mental Health Research in Intellectual Disabilities,0.726
Legal and Criminological Psychology,0.726
Phytochemistry,0.726
Drug Metabolism and Pharmacokinetics,0.725
Immunopharmacology and Immunotoxicology,0.725
Journal of Clinical Psychopharmacology,0.725
Pediatric Clinics of North America,0.725
Annals of Rehabilitation Medicine,0.724
Expert Review of Hematology,0.724
Infectious Disease Modelling,0.724
Journal of Teaching in Physical Education,0.724
Orthopaedic Surgery,0.724
Photodiagnosis and Photodynamic Therapy,0.724
Asian Nursing Research,0.723
BMC Veterinary Research,0.723
CardioRenal Medicine,0.723
Clinical Pharmacology: Advances and Applications,0.723
JMIR Formative Research,0.723
Nutrition in Clinical Practice,0.723
Public Health Nursing,0.723
Stem Cells and Development,0.723
Current Cancer Drug Targets,0.722
International Journal of Gynecological Pathology,0.722
PPAR Research,0.722
Performance Enhancement and Health,0.722
Current Treatment Options in Neurology,0.721
Functional and Integrative Genomics,0.721
JTCVS Open,0.721
Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,0.721
BMC Ophthalmology,0.72
Clinical Journal of Sport Medicine,0.72
Current Opinion in Endocrine and Metabolic Research,0.72
"Drug, Healthcare and Patient Safety",0.72
Epidemiology and Infection,0.72
Foot and Ankle Clinics,0.72
Health Policy and Technology,0.72
Infectious Medicine,0.72
Journal of Pharmacy and Pharmaceutical Sciences,0.72
Journal of Electromyography and Kinesiology,0.719
Rehabilitation Psychology,0.719
Social Work in Health Care,0.719
World Journal of Gastrointestinal Oncology,0.719
Journal of the Formosan Medical Association,0.718
PET Clinics,0.718
Toxicology in Vitro,0.718
Surgical Pathology Clinics,0.717
World Journal of Orthopedics,0.717
Archives of Cardiovascular Diseases,0.716
Current Problems in Surgery,0.716
Journal of Blood Medicine,0.716
Journal of Cardiovascular Development and Disease,0.716
Journal of Shoulder and Elbow Arthroplasty,0.716
Psychoanalytic Quarterly,0.716
Archives of Clinical Neuropsychology,0.715
Canadian Journal of Infectious Diseases and Medical Microbiology,0.715
Facial Plastic Surgery and Aesthetic Medicine,0.715
Journal of Neurosurgical Anesthesiology,0.715
Rheumatology Advances in Practice,0.715
EMA - Emergency Medicine Australasia,0.714
Free Neuropathology,0.714
Healthcare Technology Letters,0.714
International braz j urol : official journal of the Brazilian Society of Urology,0.714
Operative Dentistry,0.714
Pathology and Oncology Research,0.714
American Journal of Perinatology,0.713
Chemical Senses,0.713
Epileptic Disorders,0.713
Global Health Science and Practice,0.713
Integrative and Comparative Biology,0.713
Current Transplantation Reports,0.712
Journal of Gene Medicine,0.712
Journal of Intensive Medicine,0.712
BMJ Open Science,0.711
Blood Transfusion,0.711
Expert Review of Medical Devices,0.711
Infezioni in Medicina,0.711
Journal of Anesthesia,0.711
Balkan Medical Journal,0.71
CNS and Neurological Disorders - Drug Targets,0.71
Folia Microbiologica,0.71
Foot and Ankle Orthopaedics,0.71
International Journal of Prosthodontics,0.71
Medicina (Lithuania),0.71
Molecular Biology Reports,0.71
Neurology Research International,0.71
Research and Reports in Urology,0.71
Water Emerging Contaminants and Nanoplastics,0.71
Canadian Journal of Emergency Medicine,0.709
Cancer Management and Research,0.709
Infectious Agents and Cancer,0.709
Infectious Disease Reports,0.709
International Journal of Cardiology: Cardiovascular Risk and Prevention,0.709
Neuroethics,0.709
Surgeon,0.709
Virus Research,0.709
World Neurosurgery,0.709
BMC Cardiovascular Disorders,0.708
Infectious Diseases in Obstetrics and Gynecology,0.708
Inquiry (United States),0.708
International Journal of Paleopathology,0.708
Journal of Comparative Effectiveness Research,0.708
Journal of Ultrasound in Medicine,0.708
Acta Otorhinolaryngologica Italica,0.707
Annals of Vascular Surgery,0.707
Breast Care,0.707
Cardiovascular Diagnosis and Therapy,0.707
Jornal de Pediatria,0.707
Journal of Gynecology Obstetrics and Human Reproduction,0.707
Journal of the Canadian Association of Gastroenterology,0.707
Schizophrenia Bulletin Open,0.707
Australasian Journal on Ageing,0.706
ClinicoEconomics and Outcomes Research,0.706
Current Pediatrics Reports,0.706
European Journal of Radiology Open,0.706
Journal of Environmental Health Science and Engineering,0.706
Transfusion,0.706
Yeast,0.706
Current Opinion in Obstetrics and Gynecology,0.705
Current Opinion in Organ Transplantation,0.705
Journal of Patient Experience,0.705
Tremor and Other Hyperkinetic Movements,0.705
Alcohol,0.704
Nutrition and Metabolic Insights,0.704
Pathophysiology,0.704
Radiologic Clinics of North America,0.704
Acupuncture in Medicine,0.703
Protoplasma,0.703
Psychiatry Investigation,0.703
Behavior Genetics,0.702
Journal of Vascular Research,0.702
Angiology,0.701
BMC Medical Genomics,0.701
BMC Medical Imaging,0.701
Current Opinion in Anaesthesiology,0.701
Journal of Chemical Ecology,0.701
Journal of Traditional and Complementary Medicine,0.701
International Journal of Developmental Disabilities,0.7
Clinical Medicine Insights: Oncology,0.699
Clinics in Shoulder and Elbow,0.699
Environmental Health Insights,0.699
International Journal of Fertility and Sterility,0.699
Irish Journal of Psychological Medicine,0.699
Journal of Market Access and Health Policy,0.699
Journal of Thoracic Imaging,0.699
Therapeutics and Clinical Risk Management,0.699
Canadian Journal on Aging,0.698
Cosmetics,0.698
"Culture, Medicine and Psychiatry",0.698
Nursing and Health Sciences,0.698
Acta Histochemica et Cytochemica,0.697
Cancer Genomics and Proteomics,0.697
Health Promotion Journal of Australia,0.697
Health Services and Outcomes Research Methodology,0.697
American Journal of Clinical Oncology: Cancer Clinical Trials,0.696
BioMedical Engineering Online,0.696
Metabolism and Target Organ Damage,0.696
Journal of Behavioral Health Services and Research,0.695
Journal of Microbiology,0.695
Journal of Psychotherapy Integration,0.695
Epilepsy Research,0.694
European Journal of Drug Metabolism and Pharmacokinetics,0.694
Genes to Cells,0.694
Immunobiology,0.694
International Journal of Cosmetic Science,0.694
Journal of Cardiovascular Aging,0.694
"Journal of Child Sexual Abuse: Research, Treatment, and Program Innovations for Victims, Suvivors, and Offenders",0.694
Journal of the American Dental Association,0.694
Langenbeck's Archives of Surgery,0.694
Orthopedic Clinics of North America,0.694
Transplantation Direct,0.694
Advances in Pediatrics,0.693
Andrologia,0.693
Current Eye Research,0.693
HIV Research and Clinical Practice,0.693
International Journal of Urology,0.693
Medicina Oral Patologia Oral y Cirugia Bucal,0.693
Patient Preference and Adherence,0.693
Wellcome Open Research,0.693
Clinical and Experimental Dermatology,0.692
Connective Tissue Research,0.692
Current Opinion in Allergy and Clinical Immunology,0.692
"Drugs: Education, Prevention and Policy",0.692
Strahlentherapie und Onkologie,0.692
Clinical Pharmacology in Drug Development,0.691
Implementation Research and Practice,0.691
Environmental Monitoring and Assessment,0.69
OTO Open,0.69
Orthopedic Reviews,0.69
Cerebrovascular Diseases,0.689
Fundamental and Clinical Pharmacology,0.689
Journal of Evidence-Based Integrative Medicine,0.689
Scandinavian Journal of Gastroenterology,0.689
European Journal of Contraception and Reproductive Health Care,0.688
Health Services Management Research,0.688
Journal of Stroke and Cerebrovascular Diseases,0.688
Archives of Physiology and Biochemistry,0.687
International Journal of Population Data Science,0.687
Journal of Gastrointestinal Oncology,0.687
Physical and Occupational Therapy in Pediatrics,0.687
Veterinary Microbiology,0.687
Acupuncture and Herbal Medicine,0.686
American Journal of Physical Medicine and Rehabilitation,0.686
Canadian Journal of Neurological Sciences,0.686
Frontiers in Bioscience - Scholar,0.686
Vaccine: X,0.686
Acta Histochemica,0.685
Alzheimer Disease and Associated Disorders,0.685
Infection and Chemotherapy,0.685
Journal of Midwifery and Women's Health,0.685
Parasite Epidemiology and Control,0.685
Photodermatology Photoimmunology and Photomedicine,0.685
Journal of Aging and Physical Activity,0.684
Journal of Cardiovascular Pharmacology,0.684
Journal of Microbiology and Biotechnology,0.684
Journal of Palliative Care,0.684
World Journal of Cardiology,0.684
Alternatives to Laboratory Animals,0.683
Current Opinion in Supportive and Palliative Care,0.683
Journal of Pediatric and Adolescent Gynecology,0.683
Journal of Spine Surgery,0.683
Technical Innovations and Patient Support in Radiation Oncology,0.683
Gene,0.682
Journal of Applied Oral Science,0.682
Wiener Klinische Wochenschrift,0.682
Evidence-Based Practice in Child and Adolescent Mental Health,0.681
LUTS: Lower Urinary Tract Symptoms,0.681
Microbial Risk Analysis,0.681
Palliative and Supportive Care,0.681
Public Health in Practice,0.681
Clinical Liver Disease,0.68
"European Heart Journal, Supplement",0.68
Journal of Cardiothoracic and Vascular Anesthesia,0.68
Seminars in Neurology,0.68
Health Services Insights,0.679
"Journal of Anesthesia, Analgesia and Critical Care",0.679
Orthopedic Research and Reviews,0.679
Cranio - Journal of Craniomandibular Practice,0.678
Heart Lung and Circulation,0.678
Homicide Studies,0.678
Exploration of Targeted Anti-tumor Therapy,0.677
Genome,0.677
JMIR AI,0.677
Medical Gas Research,0.677
Nutrition and Cancer,0.677
Public Health Ethics,0.677
Tissue and Cell,0.677
American Journal of Human Biology,0.676
Chronic Obstructive Pulmonary Diseases,0.676
Clinical Neurophysiology Practice,0.676
Metallomics,0.676
Neurogenetics,0.676
Physiological Research,0.676
Plastic and Reconstructive Surgery - Global Open,0.676
Psychogeriatrics,0.676
Scandinavian Journal of Primary Health Care,0.676
Vasa - European Journal of Vascular Medicine,0.676
Asian Journal of Urology,0.675
Current Fungal Infection Reports,0.675
Skeletal Radiology,0.675
Children,0.674
Journal of Gastrointestinal and Liver Diseases,0.674
Revista Brasileira de Epidemiologia,0.674
Shoulder and Elbow,0.674
Current Gene Therapy,0.673
Drugs - Real World Outcomes,0.673
Fish Physiology and Biochemistry,0.673
US Endocrinology,0.673
Current Diabetes Reviews,0.672
Expert Opinion on Pharmacotherapy,0.672
Journal of Clinical Orthopaedics and Trauma,0.672
Obstetrics and Gynecology Science,0.672
Pilot and Feasibility Studies,0.672
American Journal of the Medical Sciences,0.671
Archives of Virology,0.671
Atherosclerosis Plus,0.671
Clinical Medicine Insights: Cardiology,0.671
Forensic Science International: Digital Investigation,0.671
Journal of Maternal-Fetal and Neonatal Medicine,0.671
Translational Andrology and Urology,0.671
Translational Journal of the American College of Sports Medicine,0.671
BJPsych Bulletin,0.67
Ciencia e Saude Coletiva,0.67
Current Dermatology Reports,0.67
Gynecological Endocrinology,0.67
Journal of Orthopaedics,0.67
Musculoskeletal Surgery,0.67
Journal of Dietary Supplements,0.669
Journal of Special Education,0.669
BioMedicine (Taiwan),0.668
Current Genetics,0.668
International Journal of Mental Health,0.668
Journal of Nutritional Science,0.668
Journal of Physiological Anthropology,0.668
Medical Cannabis and Cannabinoids,0.668
SAGE Open Medicine,0.668
Geriatrics (Switzerland),0.667
International Journal of Endocrinology,0.667
International Journal of Health Economics and Management,0.667
New Solutions,0.667
Recent Patents on Anti-Cancer Drug Discovery,0.667
Arts and Health,0.666
Current Behavioral Neuroscience Reports,0.666
Journal of Cancer Education,0.666
Journal of Ophthalmic and Vision Research,0.666
Sarcoma,0.666
Health Security,0.665
Journal of Egyptian Public Health Association,0.665
Journal of Tissue Engineering and Regenerative Medicine,0.665
Tobacco Induced Diseases,0.665
ADMET and DMPK,0.664
American Journal of Otolaryngology - Head and Neck Medicine and Surgery,0.664
Current Opinion in Otolaryngology and Head and Neck Surgery,0.664
Translational Medicine of Aging,0.664
Annals of Thoracic Medicine,0.663
Chronic Diseases and Translational Medicine,0.663
International Journal of Immunopathology and Pharmacology,0.663
Journal of Medicine and Philosophy (United Kingdom),0.663
Journal of Tropical Medicine,0.663
Methods of Information in Medicine,0.663
Oncology Letters,0.663
Thrombosis Journal,0.663
Ultrasound in Medicine and Biology,0.663
Annals of Work Exposures and Health,0.662
Canadian Journal of Experimental Psychology,0.662
Ergebnisse der Physiologie Biologischen Chemie und Experimentellen Pharmakologie,0.662
Evolutionary Psychology,0.662
Gates Open Research,0.662
Journal for the Measurement of Physical Behaviour,0.662
Journal of Imaging,0.662
Journal of Pharmaceutical Policy and Practice,0.662
Mini-Reviews in Medicinal Chemistry,0.662
